idx,sentence,P,R,F1,status
276,उरिल्ल्या उत्तर आयर्लंडांत आनीक 45 टपालाचीं शारां आसात.,0.15,0.33,0.21,OK
277,धमन्यांचो सरासरी रक्तदाब मेजतात आनी दुखापत जाले उपरांत सात दिस 85 ते 90 ऍम. ऍम. ऍच. जी. दवरतात.,0.13,0.16,0.14,OK
278,इंसबर्काक जाल्ल्या 1964 तल्या शिंयाळ्या ऑलिम्पिक्सांत ताका रुप्या पदक मेळ्ळें.,,,,SKIP
279,थोडी शिटकावणी घेवन दुयेंती आपात्काळ विभागांत येतात.,0.09,0.15,0.11,OK
280,शिकागो ब्लॅकहॉकांनी दाव्या व्हिंगर अँड्र्यू लाडा खातीर तुओमो रुतूचो कॅरोलिना कडेन वेपार केलो.,,,,SKIP
281,आमोन हो मध्य पुर्वेचो एक पुर्विल्लो देश.,0.33,0.36,0.34,OK
282,एका 3 वर्सांच्या अभ्यासांत 33 टक्के पुनरावृत्ती दर आशिल्ल्या ई.आर.ए.ची तुळा पुनरावृत्ती दर 23 टक्के आशिल्ले उक्ते शस्त्रक्रिये कडेन केली.,0.11,0.25,0.15,OK
283,एखाद्रें उत्पादन ताचे  कार्यगतीसारक्या जायत्या उब्या गुणधर्मांनी वेगळें आसूं येता.,0.06,0.2,0.09,OK
284,सगळ्यांत म्हत्वाचें म्हळ्यार आयोगाच्या अहवालांत अधिराज्य पदाचो उल्लेखच नाशिल्लो.,,,,SKIP
285,"म्हजे  गाडयेच्या इंजिनाक भलतीच कटकट जाल्या. कितें तरी किरकोळ आसल्यार पुरो, पूण मनांत धाकधूक आसाच .",,,,SKIP
286,पुर्विल्ल्या भारतांत ल्हान भुरग्यांक शिकोवपाक रामायण वापरताले.,,,,SKIP
287,"पेरियार न्हंयच्या देगणांत, उंचेल्या पठार वाठारांत जमनीवयले रेंवेचें खणकाम व्हड प्रमाणांत चलता.",0.09,0.14,0.11,OK
288,2021 वर्सा भारतांतल्या निवळ शारांमदीं चंडीगढ 66व्या क्रमांकाचेर देंवलो.,0.2,0.42,0.27,OK
289,2018 शिंयाळ्या पॅरालिम्पिकांत भाग घेवपाक बल्गेरिया एकट्याक धाडटा.,,,,SKIP
290,शारीकरणाक लागून आलाशिरो वगडायिल्ल्या एका भुतांच्या पंगडाची ही काणी.,0.05,0.08,0.06,OK
291,कॉल्बर्ट आपलो हलको विनोद आनी भावनीक नाट्याखातीर फामाद आशिल्ली.,0.16,0.37,0.22,OK
292,हवामान शास्त्रज्ञांच्या मतान वादळ आज  दीसभर  चालू उरपाची शक्यताय आसा.,0.07,0.21,0.11,OK
293,सध्या तो भारतांतल्या दिल्ली शाराखातीर पत्रकार म्हणून काम करता.,0.32,0.39,0.35,OK
294,नेपोलियनान हो जुंवो आनी उत्तर अमेरिकेची आपली येवजण सोडून दिली आनी 1803 वर्सा लुईझियाना खरेदी अमेरिकेक विकली.,0.24,0.22,0.23,OK
295,बॅर्न  बॅर्न ही उत्तर फ्रान्साच्या नॉर्डांतली  एक गांवसंस्था.,0.29,0.53,0.37,OK
296,"दरेका राज्याची डी.बी.ए. नोंदणी करपाची आपली स्वताची प्रक्रिया आसता, ती सादारणपणान राज्य कार्यालयाचो  सचीव हाताळटा.",,,,SKIP
297,"राजकुवंर मुअज्जम (शाह आलम) दक्षीण कोंकण, रामदरा आनी मराठ्याचे हेर प्रदेश जिखपाचो आशिल्लो.",0.28,0.12,0.17,OK
298,"वॉशिंग्टन तळ्याचेर आशिल्ल्या 520 फ्लोटिंग ब्रिजाक, तंत्रज्ञान-संपन्न ईस्टसायडाक वचपी एके मुखेल वाहिनीक मातशेंशें लुकसाण जालें.",,,,SKIP
299,"ग्लायडोसासारके, हेर प्रकल्प, पोरण्या खेळांकूय ग्लायड वापरपाक मान्यताय दितात.",0.17,0.25,0.2,OK
300,गुलामांची लश्करांत नांवनोंदणी जाल्ल्यान शेतकारांक तांच्या शेतकामांखातीर गुलामांचेर निंबून रावपाक मेळना जालें.,0.06,0.12,0.08,OK
301,दुसरो रेफ्री जोडिल्ल्यान परिशद आनी शाळा ह्या दोनूय संस्थांक कार्यावळी घडोवपाक आनी अर्थीक अडचणी येवंक शकतात.,,,,SKIP
302,तिचें निमाणें पद कोराओ पावलिस्तानो मारियो जि आंद्राजाची मुखेल संचालक म्हूण आशिल्लें.,,,,SKIP
303,"एक वर्स रावतकीर, सवें डॅन आशिल्लो इन्स्ट्रक्टर मास्टर ही पदवी घेवपाक पात्र जाता.",0.24,0.31,0.27,OK
304,तो वरिश्ठ राश्ट्रीय बॉक्सींग पंगडाचो वांगडी आसलो.,,,,SKIP
305,ह्या उदरगतींक लागून लोकांक जगपाक जाय ताचेपरस  चडच उत्पादन करपाक मेळ्ळें.,,,,SKIP
306,कबलातींतल्यान मेळिल्ल्या निधीचो उपेग करून कंपनीन तो प्लॅटफॉर्म सुरू केलो.,,,,SKIP
307,हे 1997 हातूंत बंद केले आनी 1998 हातूंत अल्फा रोमियो 166न  बदलले.,0.31,0.55,0.39,OK
308,ह्या चित्रपटांत शंकर-एहसान-लॉय ह्या त्रिकुटाचें संगीत आनी रसूल पुकुट्टीची आवाजा येवजण आसा.,0.21,0.31,0.25,OK
309,व्हडल्या पड्ड्याच्या कॅमेऱ्यांच्या भिंगाचे  रूपकार करप विशेश कुस्तार आसतात.,,,,SKIP
310,रेहमानान जमाताचो मुखेली म्हणून अझामाक बांगलादेशांत परत येवपाकूय दिलें.,0.23,0.33,0.27,OK
311,दिसपट्टें जाता तें घरगुती घाण उदक 470 एम. जी. डी. आनी उद्देगीक घाण उदक 70 एम. जी. डी. आसा.,0.05,0.09,0.06,OK
312,आयज संवसारभरांतले उणेच 30 देश लगोरी खेळटात.,0.2,0.29,0.24,OK
313,मागीर ताणें सगळें संगीत दुसऱ्यािखातीर बरयिल्लें म्हळ्यार,0.17,0.19,0.18,OK
314,चडटेचेर चलपाचे वा धांवपाचे अणभव मेळवच्याखातीर  तुका धांवपाचें फळें वयर काडूंक मेळटा.,,,,SKIP
315,मलाबार बंडांत मलाबारच्या मोपला मुसलमानांनी ब्रिटीश शासना आड बंड केलें.,0.29,0.3,0.29,OK
316,दोन रॅगूस जिखपी पंगड इव्हेंट मॅच जिखता.,0.06,0.15,0.08,OK
317,दुसऱ्या म्हाझुजांत बर्मा आनी सिलोनांतल्या सैन्यांत ह्या रोगाच्यो खर म्हामाऱ्यो आयिल्ल्यो.,,,,SKIP
318,वॅस्ट जर्मन ऍर फोर्सांतल्या वरिश्ठांकडेन ताचें किजिल जालें.,,,,SKIP
319,"उत्सव आनी राजकी दावे हांचें तें मिश्रण, तें 1995 साकून जाता.",0.11,0.27,0.15,OK
320,देवान भारतीय राश्ट्रीय  पंगडांत आपली सुवात निश्चित केल्ल्यान घरगुती मॅचींनी ताचें खेळप उणें जालें.,,,,SKIP
321,हॅश टेबल हॅश टेबल हें एके तरेेचें  म्हायती  सांठोवपाचें साधन.,0.06,0.2,0.1,OK
322,शशी सुमीत प्रॉडक्शनाखाला निर्मिल्ल्या तातूंत ऍनस रशीद आनी दीपिका सिंग आशिल्लीं.,0.33,0.44,0.38,OK
323,"1994 वर्सा, तो थाय नेशन पार्टीचो मुखेली जालो.",0.29,0.33,0.31,OK
324,"2010 वर्सा, हे विमान सेवेन जुबा आनी एन्टेबी मजगतीं दिसपट्टी उड्डाणां सुरू केलीं.",0.32,0.46,0.38,OK
325,नीबिंगाची नगरपालिका 1881 वर्सा ऑन्टारियोचे विधानसभेन निर्माण केल्ली.,0.26,0.37,0.3,OK
326,ते मॉचे किड्स इनकॉर्पोरेटेडांत वांटेकार जाल्ल्यांनी आनी हेर टेलिव्हिजन खेळांनी  घाल्ले.,0.18,0.3,0.23,OK
327,सिरियाच्या पुलिसांनी शरबाजीक दमास्कसांतल्या राजकी सुरक्षा शाखेंत व्हेले.,,,,SKIP
328,एके तिरपे नळकांडयेचेर एक वयलो आनी पोंदचो पृश्टभाग एकमेकांपसून पयस केल्ले आसतात.,,,,SKIP
329,"ताणें त्या वेळावयल्या मुखेल परिचालकां   वांगडा वाजोवपाचें काम केलां, खास करून ऍबाट फॉन कारायाना बरोबर.",0.1,0.33,0.15,OK
330,कॅमेरामॅनाक ऍबटाची खबर दिवप हें एकुच काम आशिल्लें.,0.1,0.21,0.14,OK
331,नेटवर्किंग इव्हेंटाक लेगीत हाजीर रावचे पयलीं एक ध्येय मतींत दवरपाची खात्री करात.,0.1,0.12,0.11,OK
332,हें सैमाच्या देखाव्यांक लागून आनी विष्णु आनी शिव ह्या दोन हिंदू देवांकडेन संबंदीत आशिल्ल्यान लोकप्रिय आसा.,,,,SKIP
333,"तेखातीर भारताचो ""सगळ्यांत जलद खंड"" म्हूण उल्लेख करतात.",0.29,0.47,0.36,OK
334,गर्भ पिशवेच्या तोंडाकडेन लागीं आशिल्ली पेशी तांतयाची पेशी जाता.,0.11,0.21,0.15,OK
335,हाचें कारण म्हळ्यार 1948 त हांगा जाल्लें नागरी झूज.,0.2,0.4,0.27,OK
336,तिच्या सवकास सुरवात करपाच्या वेळाक लागून वरतेपणाची सुरवात मेळटकीर कॅप्टन मॉर्गन श्री रीडाआड पयली सर्त जिखपाक शकलो.,,,,SKIP
337,अमेरिकेच्या पुराय इतिहासांत फाशी दिवपाच्या वेगवेगळ्या पद्दतींचो उपेग जाला.,,,,SKIP
338,देगणाचो दक्षिणेवटेनचो विस्तार बऱ्याचशा जाग्यांचेर चड रुंद आसा.,0.03,0.07,0.05,OK
339,ताळो हें मनशाच्या आनी हेर सस्तन प्राण्यांच्या तोंडांतलें पाखें.,0.09,0.21,0.13,OK
340,सायडर करतनां टेनिनान भरिल्लीं सफरचंदां वेंचून काडटात.,,,,SKIP
341,"सुत्रधारा ही एक कथा सांगपी आनी वैष्णव धर्माचीं आध्यात्मीक मुल्यां पुराय शास्त्रीय स्वरूपांत: नृत्त, नृत्य आनी नाट्यांत सादर करपी शैली.",0.24,0.29,0.26,OK
342,मोलाचेर परिणाम करपी मुखेल गजाल म्हळ्यार पुरवण आनी मागणेमदलो समतोल.,,,,SKIP
343,जॉन हुशार आनी कश्ट करपी आशिल्लो आनी ताका लोहार म्हूण सहज काम मेळ्ळें.,,,,SKIP
344,बिजापुरी सैन्यान ताका झगड्यांत घुसपावचे आदीं शिवाजीच्या घराण्याखातीर पवित्र आशिल्लें तुळजा भवानी देवूळ आनी हिंदू लोकांखातीर मुखेल तीर्थस्थान आशिल्ल्या पंढरपूर हांगाचें विठोबा देवूळ अपवित्र केलें.,,,,SKIP
345,पूण तो सभापती म्हणून वेंचून आयिल्लो देखून तो 2019 सावन स्वतंत्र आसा.,,,,SKIP
346,भारतांतलें एकूच पारशी/झोरोस्ट्रियन होंवरी देवूळ म्हणल्यार महाराष्ट्रांतल्या डहाणूलागसार थळावे बराड म्हूण वळखतात त्यो बहरोट होंवऱ्यो.,,,,SKIP
347,"फवाऱ्याच्या झोताक लागून उरिल्ली  पोकळी, जी हिमालयाचे दक्षिणेक आशिल्ल्या मार्गावयल्यान तिबेटाचे उत्तरेक वचपी मार्गार मोडण घेता, मागीर उश्ण आनी दमट हवेक आकर्शीत करता.",,,,SKIP
348,तुजी बचत थेट गुंतवणूक खात्यांत व्हरपाचोय विचार तू करूं क शकता.,,,,SKIP
349,जयनाची कूड विमानांतल्यान त्रिवेंद्रमांत व्हेली आनी उपरांत ती क्विलोन हांगाच्या ताच्या घरा व्हरून थंय ती लासयली.,,,,SKIP
350,स्ट्रोक जाल्ल्या लोकांमदले अर्दे लोक एका वर्सा परस उणे जगतात.,0.07,0.16,0.1,OK
351,आधुनीक वापरांत ऑक्टेट आनी बायट समान आसतात.,0.14,0.33,0.2,OK
352,ताचो दूरचित्रवाणी प्रीमियर हंगामा टीव्हीचेर 17 जुलय 2013 दिसा जालो.,,,,SKIP
353,"तो विश्वचषकाच्या पात्रतायेंत देशांतलो सगळ्यांत चड गोल करपी आशिल्ल्यान चॅक प्रजासत्ताकाच्या प्रशिक्षक कारेल ब्रूकनरा खातीर हें दुर्दैवी.
.",0.19,0.35,0.24,OK
354,तांचेकडेन हेर कसले तरेचीं गिरायकां आसात?,0.14,0.27,0.19,OK
355,20 फेब्रुवारी 2008 दिसा नॅशनल हॉकी लीगांत 6 खेळ जाल्ले.,0.4,0.44,0.42,OK
356,अरुणाचल प्रदेशांतलो इटा किल्लो चुटिया राजांनी पयलीं म्हटल्यार 14व्या वा 15व्या शेंकड्यांत बांदिल्लो आसपाक जाय अशें सादारणपणान मानतात.,,,,SKIP
357,शरीर कशें चलता ताचो अभ्यास म्हळ्यार फिजियॉलॉजी.,0.21,0.33,0.26,OK
358,तो मॅन्चॅस्टर सिटी आनी वॅल्स नॅशनल पंगडाखातीर खेळटा.,0.26,0.29,0.27,OK
359,हो होळी उत्सव पूण याओसांग हें मणिपूरच्या लोकांनी दिल्लें प्रादेशिक नांव.,0.19,0.43,0.26,OK
360,सक्रिय त्रिभुज वाठारांतली उण्यांत उणी 75% लोकसंख्या नुस्तेमारी उद्देगाचेर निंबून आसा.,0.13,0.26,0.18,OK
361,दर वराक वा चड वेळ थंय निरंतर व्हारपी वारो वा सामको झुमझुमीत वारो व्हांवता.,0.07,0.12,0.09,OK
362,तुपाक्की ह्या तमिळ चित्रपटांतय तिणें पावणो कलाकार म्हूण  काम केल्लें.,0.16,0.24,0.19,OK
363,अशे तरेन निमाणी जाप एक हजार दोनशें त्रेप्पन.,0.03,0.11,0.05,OK
364,ह्या दिसाची सुटी मॉरिशसांतल्या पांच हिंदू राश्ट्रीय भौशीक सुटयांमदली एक.,0.18,0.3,0.22,OK
365,सार्वत्रीक वेंचणुको म्हळ्यार वेंचून काडपाच्या मंडळाच्या सगळ्या वांगड्यांच्यो वेंचणुको.,0.03,0.06,0.04,OK
366,पेरियारचो इडयार फांटो ह्या उद्देगधंद्यांची गरज भागयता.,0.19,0.28,0.22,OK
367,"देखीक, वेवसायीक फुटबॉल खेळगडो एका अमक्याच ब्रँडाच्या शर्टांची शिफारस करता.",0.09,0.19,0.12,OK
368,"उत्तर पुर्वी भारताचो दुसरो व्हड विमानतळ म्हूण, तो उत्तर पूर्व राज्यां खातीर एक मुखेल माल येरादारी केंद्र म्हूण काम करता.",0.15,0.17,0.16,OK
369,"बिटॉनीचो जन्म  1934 वर्सा किआराव्हाल्य, आंकोन्या जालो.",0.56,0.7,0.62,OK
370,हात 20 सेकंद वा चड  वेळ  धुले जाल्यार विशाणू मरूंक मजत जातली.,,,,SKIP
371,"1755 मेरेन हैदर अलीन 3,000 पांयदळ आनी 1,500  घोडेस्वारांची पलटण घेतली आनी तो मोहीमेचेर लुटमार करून स्वताक गिरेस्त करतालो अशें म्हण्टाले.",,,,SKIP
372,"उपरांत तेच मोहिमेंत औरंगजेबान परतून 8,000 कुशळ घोडेस्वार आनी 20,000 कर्नाटकी तुबकधारी शिपाय आशिल्ल्या सैन्याआड सवारी केली.",0.19,0.36,0.25,OK
373,ती चरबी मागीर निवळ करून थानांनी भितर घालतात.,0.08,0.18,0.11,OK
374,"जर तूं ऐन वेळार सुटयेखातीर खरेदी करता, जाल्यार तुज्यो सगळ्यो भेटवस्तू गुठलावन बांदपाक तुका आनीकय उणो वेळ मेळटलो.",0.08,0.17,0.11,OK
375,तेन्नां पुलीस तांकां कांय न्ही करून धरूंक शकले.,0.08,0.12,0.1,OK
376,तेंं  जेरिल्डरी शर कावंसिल लोकल गव्हर्नमेंट एरियांतलें एकच शार.,0.09,0.27,0.14,OK
377,"मुंबय उच्च न्यायालयान, 1999 च्या एप्रिलांत, कॅनरा बँकेच्यो प्रलंबीत रिणांचीं वसुली प्रकरणां निवळटामेरेन बच्चनाक आपलो मुंबयचो बंगलो ‘प्रतीक्षा’ आनी दोन फ्लॅट विकपापसून आडायले.",0.24,0.36,0.29,OK
378,"ऑंकटिल सामको वेळार फाटीं उरलो, जायत्या जाणांक ताका कोणूच हारोवंक शकना अशें दिशिल्लें.",0.12,0.26,0.16,OK
379,2008 वर्सा घेतकीर तो क्लब संवसारांतलो  सगळ्यांत गिरेस्त जालो.,,,,SKIP
380,ब्रिटीशांनी एक बंदर ताब्यांत घेवं येता काय ना हें पळोवपाची येवजण सुरू केली.,0.13,0.42,0.2,OK
381,"हाचो अर्थ भलायकी सेवा पुरवणदारांनी भौशीक भलायकी प्राधिकरणाक कळोवप गरजेचें, उपरांत आदर्श रितीन  जोडीदाराची सुचोवणी त्या मनशाच्या  जोडिदाराक दितले.",,,,SKIP
382,कांय प्रकरणांनी हें वायू वा प्रक्षेपकां सोडूंक शकतालें.,,,,SKIP
383,925 चौखण किलोमीटर वा 357 चौखण मैल पेरियार वाग राखीव वाठार चडसो कार्डमम हिल्साच्या सामक्या दक्षिणेच्या भागांत आसा.,0.16,0.31,0.21,OK
384,"भारतीय माध्यमांनी ""हिमालयाची सुनामी"" असो ह्या हुंवाराचो उल्लेख केलो.",0.26,0.5,0.35,OK
385,"कांय सुवातींनी, ते धान्य आनी गोडासारकिले जिनस एकठांय करून विकतात आनी विक्रेची येणावळ गटांनीं वांटून घेतात.",,,,SKIP
386,"1985 वर्सा, सोव्हिएट सांस्कृतीक केंद्र ढाका परत सुरू जालें.",0.24,0.37,0.29,OK
387,"हे खातीर तो तर्कवादाचो पुरस्कर्तो जालो, आनी जातीवेवस्था, धर्म आनी अंधश्रध्देआड ताणें प्रचार केलो.",,,,SKIP
388,बायलवाद हें उतर वापरपी ऍलीस वॉकर ही पयली मनीस आशिल्ली.,0.23,0.41,0.3,OK
389,आर.ए.आय.डी. 5 ची सांठोवणी क्रमवार  करपाक उण्योच तीन हार्ड डिस्क जाय पडटात.,0.12,0.26,0.16,OK
390,मेयर आनी नोविकी हांचे उपरांत सरकारी अधिकाऱ्यांनी ले कॉर्बिझियराक नियुक्त केलो आनी ताणें  मेयराचे मूळ येवजणेचे जायते घटक ताका श्रेय दिनासतना आस्पावन घेतले.,,,,SKIP
391,एके सामान्य व्यक्तीकडेन लग्न केलें म्हूण जपानी कायद्याप्रमाण तिका राजघराण्यांतल्यान काडून उडयली.,0.24,0.23,0.23,OK
392,"दुसऱ्या  उतरांनी  मर्याद ऑर्डर वेपाराच्या मोलाची वा ताचे परस बरी हमी दिता, पूण वेपार जातलो हाची न्हय.",,,,SKIP
393,ल्हान राज्यांच्या युगान ह्या वाठारांत व्हड साम्राज्यांक वाट करून दिल्या.,,,,SKIP
394,जायत्या पोरण्या क्लबांच्या कार्यावळींनी अजूनय दोनूय खेळ आसात.,,,,SKIP
395,2012 वर्सा लंडन पॅरालिंपिक खेळांखातीर ऑस्ट्रेलियेच्या नेमबाजी पंगडांत लिब्बी कोस्मालाची निवड जाल्ल्यान पॅरालिंपिक खेळांत पिराय ही आडखळ न्हय हें ठळकपणान होलमता.,,,,SKIP
396,"हाका लागून, ताचेखातीर  फक्त पांच गेमी तयार केल्ल्यो.",0.1,0.27,0.15,OK
397,"दुसरे वटेन घोडदळाचो भालो चड लांब, लांकडाचो आसतालो आनी विरोधकाचें रगत दांड्यार पातळुंक दिवचें न्हय म्हूण तांबडें लुगट पात्यालागीं जोडटाले.",0.1,0.15,0.12,OK
398,म्हाका आनी म्हज्या वांगडच्या हेर भारतीयांक उणाक लेखपी पोस्ट वॉट्सअॅपाचेर पळोवन पीळ पडले काळजाक. (व्यक्ती 1),,,,SKIP
399,"भारताच्या इतिहासांत पयलेच खेपे  अशा वावरापासत राष्ट्रपती भवनान न्हय, जाल्यार राष्ट्रपतीन अधिकृतपणान एका समाजाचो भोवमान केलो.",0.14,0.33,0.2,OK
400,गोदावरी आनी कृष्णा न्हंयांच्या मदल्या जमनींवयल्यान  ताची उत्पत्ती जाली  आनी तो अमरावती आनी धरणीकोटा हांगा थिराविल्लो.,0.21,0.4,0.27,OK
401,पावसाक लागून रस्तो आनी कुशींच्यो वंयो दोनूय एरिस न्हंयेंत कोसळ्ळीं.,,,,SKIP
402,आल्कमी हो विज्ञानाचो मुखेल प्रकार आशिल्ल्या संवसाराचेर हें कथानक लक्ष केंद्रीत करता.,,,,SKIP
403,"नोकिया, मोटोरोला, ऍरिक्सन, सायन आनी हेरांनी एक जावन सिम्बियन संघटना तयार केली.",0.22,0.34,0.27,OK
404,"दुबे, तशेंच मॅक्लीन, हांच्या मतांप्रमाणें 1834 वर्सा लखनौ बरयल्ल्या इस्लामी विश्वकोश यादगर-ए-बहादुरींत प्रयाग उत्सवाचें आनी हिंदू लोकांखातीर ताच्या पावित्र्याचें वर्णन केलां.",,,,SKIP
405,राश्ट्रीय अर्थसंकल्प आनी वर्साच्या निमाण्या अहवालां सारकिल्या अधिकृत लेखा दस्तावेजांचो पुराय नियाळ घेवन ड्रग्स  संबंदीत अशें स्पश्टपणान लेबल केल्लो थेट भौशीक खर्च सहजपणान सोदून काडूंक मेळटा.,,,,SKIP
406,98 टक्क्यांपरस चड रोलर डर्बी सर्ती डब्ल्यू.ऍफ.टी.डी.ए. नेमांखाला जाल्यो असो दावो मार्च 2010 त डर्बी न्यूज नेटवर्कान केलो.,0.21,0.3,0.25,OK
407,हे न्हंयेचें एक देंगण आसा (जें फातराळ रेब्याचे मातयेपसून तयार जालां) जें 25 किमी (16 मैल) लांब आनी 198 फूट (60 मीटर) खोल मेरेन पातळिल्लें आसा.,0.16,0.22,0.18,OK
408,हाचो अर्थ जर्मनींत दरेका पांवड्यार सरकाराचें वेगळें काम आसता.,0.28,0.37,0.32,OK
409,19 एप्रिल 1906 दिसा पॅरिसांत एका गाडयेच्या अपघातांत पियरेक मरण आयलें.,0.6,0.14,0.23,OK
410,अंडाल ह्या तमीळ श्री वैष्णव स्त्री संताचेर ताणें अमुक्तमाल्यादा नांवाचो एक तेलुगू ग्रंथ बरयलो.,,,,SKIP
411,पुक्कोट्टूरच्या झुजाची ह्या बंडांत म्हत्वाची भुमिका आसा.,,,,SKIP
412,रॉबिन्सनाक पयलीं वेंचून काडटकच काळ्या वंशाचे खेळगडे सॅचल पेज आनी जोश गिब्सन अस्वस्थ जाले.,,,,SKIP
413,"तो मागीर ताचेवेल्यान, शिक्को कसो, कागद आनी शाय हालोवंक शकतालो.",0.17,0.25,0.2,OK
414,खेळ बरो जावन सोंपता जाल्यार पंगड धा मिण्टां चड खेळटात आनी पयलो गूण मेळयल्लो पंगड जिखता.,0.06,0.13,0.09,OK
415,जतनायेन बरोवप आनी विरामचिन्न बरोवप लेखकांक स्पश्ट संवाद सादपाक कितलें आदार करता तें तातूंत स्पश्ट केलां.,,,,SKIP
416,"पेपाल सारकिल्या ऑनलायन बँकिंग थळांतल्यान तुमी तांकां पयशे धाडूंक शकतात, वा दुसऱ्यांक पयशे भेट  दिवपा खातीर खास  आरेखन केल्लीं  अॅप्लिकेशनां वापरूंक शकतात.",0.16,0.23,0.19,OK
417,"हार्डिन्सबर्ग, केंटकी हार्डिन्सबर्ग हें अमेरिकेच्या केंटकींतलें एक शार.",,,,SKIP
418,"थंय 800 स्टॉल्सआसात आनी बाजार सप्तकांत 1,00,000 वयर लोकांक आकृश्ट करता.",0.17,0.17,0.17,OK
419,वुओर्नोसाचेर ऍण्टिसोशल पर्सनॅलिटी डिसऑर्डर आनी बॉर्डरलायन पर्सनॅलिटी डिसऑर्डराचे उपचार जाल्ले.,,,,SKIP
420,"संसर्ग जाता तेन्ना, रसायनां खंय आसात तीं सोदीत फॅगोसायट्स जिवाणूंमेरेन पावतात.",0.06,0.2,0.09,OK
421,प्रधानमंत्र्याचें मंत्रीमंडळ 15 वांगड्यांचें आसता.,0.05,0.14,0.07,OK
422,"तुजे बँकेच्यो विमो केल्ली बचत खातीं दिवपी थळाव्यो शाखा तुका मेळूंक शकतात, पूण तींच दिवपी ऑनलायन बँकोय तुका मेळूंक शकतात.",0.06,0.11,0.08,OK
423,नाटकाक-जाय ती वेशभुशा वापरिल्ली सत्तरीया नृत्यांत दिसता.,,,,SKIP
424,"इतिहासीक नदरेन कुंभमेळे मुखेल वेवसायीक कार्यावळी आशिल्ल्यो, तातूंत आखाड्यांत नवे भरतेची सुरवात, प्रार्थना आनी सामुदायिक गायन, आध्यात्मीक चर्चा, शिक्षण आनी एक देखावो आसतालो.",,,,SKIP
425,हे प्रक्रियेंतल्यान रक्ताभिसरण तंत्रांतल्यान एल.डी.एल. काडटात.,0.12,0.07,0.09,OK
426,"विकिपीडिया लेखांचो वापर फाटभुंयेचे म्हायतेखातीर, योग्य परिभाषा आनी सोद नांवांचो संदर्भ म्हुणून आनी फुडल्या संशोधनाखातीर आरंब बिंदू म्हुणून करपाक जाय.",,,,SKIP
427,"धवी चॉकलेट खुब्ब आवडटा म्हाका, घातली तोंडांत काय विरगळटा.",0.17,0.05,0.07,OK
428,तिसरी वळ म्हळ्यार तुमी तुमचें शार खंय तें टायप करपाचें.,0.04,0.05,0.04,OK
429,"मुखेल पात्र, जॉन कॉन्स्टान्टायन, राकेसांकडेन झगडटा.",0.12,0.25,0.17,OK
430,अमेरिकेंत अशें करपी हो पयलो आयर्न मेडन आल्बम आशिल्लो.,0.12,0.35,0.18,OK
431,कांय म्हयन्यां उपरांत तो 27 एप्रील 1596 दिसा मेलो.,0.16,0.29,0.2,OK
432,सरकारान दिल्लीं मेदियाग्वाज वा ल्हान घरां उदक आनी आर्द्रताय आडावन दवरनात अशें लोकांनी ताका आनी गृहमंत्री रुद्रिगो हिंझपीटराक सांगलें.,0.2,0.3,0.24,OK
433,दुसऱ्या म्हाझुजांत ताचो विमानां तयार करपाचो कारखानो केलो.,0.07,0.13,0.09,OK
434,"तळ घरांत, कोठये कुडींत वा हेर खंयच्याय जाग्यार हीं दवरात जंय तांकां त्रास जावंचो ना वा तापमानाचो परिणाम जावंचो ना.",,,,SKIP
435,वट्ट सुमार पंदरा लाख लोकांक  हुंवार बादला अशें म्हणटात.,0.1,0.27,0.14,OK
436,जायतीं तारवां आशिल्ल्या युरोपेव देशांखातीर हें सोदांचें युग आशिल्लें.,0.09,0.22,0.12,OK
437,"सरकाराचेर नियंत्रण दवरतनाच, राजकी कुटुंबां राज्यांतल्या सहकारी संस्थांचेर लेगीत नियंत्रण दवरतात, मुखेलपणान राज्यांतले सहकारी साकर कारखाने आनी जिल्लो सहकारी बँको.",,,,SKIP
438,ऑक्टोबर 1592 वर्सा काश्मीरच्या हुसैन चक हाचे चलये कडेन ताचें लग्न जालें.,0.23,0.29,0.26,OK
439,"गुरू पोर्णिमा (पूर्णिमा) उत्क्रांत वा प्रबुद्ध मनीस, कर्मयोगाचेर आदारून  आपलें गिन्यान दुसऱ्याक दिवंक तयार आसतात त्या सगळ्या आध्यात्मीक आनी शिक्षणीक गुरूंक समर्पीत केल्ली परंपरा.",,,,SKIP
440,तुका इंटरनॅट परवडना वा पयशे वांचोवंक तुका तें बंद करचें आसा जाल्यार तुज्या वाठारांत फुकट वाय-फायाच्यो सुवातो सोदपाचो यत्न कर.,0.07,0.11,0.08,OK
441,दोन स्थानकांमदीं वचपी केबलाक बसयिल्लीं कॅबिनां तातूंत आसपावतात.,0.08,0.23,0.12,OK
442,"भारतीय संगीत शेंकड्यांनी राग वापरता, पाश्चात्य संगीतांतले इगर्ज पद्दती परस जायते चड.",0.14,0.26,0.18,OK
443,शिकचेपासत सकारात्मक वातावरण तयार करपाचे आमी पुराय यत्न करतात पूण ते सदांच परिपूर्ण असतात अशें ना.,0.11,0.22,0.14,OK
444,"गुरवारपणांत ए जिवनसत्वाचो उणाव, ताचे उपरांत दुदाच्या वेळार ए जिवनसत्वाचें उणें हस्तांतरण आनी अर्भक/भुरग्याच्या आहारांत ए जिवनसत्व वा बेटा-कॅरोटीन उणें आसप हीं कारणां आसात.",0.13,0.3,0.18,OK
